nombre,codigo,creditos,promedioAprobado,competencias
Ecologia 101,Eco101,8,79.49,"Adaptabilidad;Toma de decisiones informada;Pensamiento critico;Gestion del tiempo;Habilidades analiticas"
Educacion 203,Edu203,8,62.07,"Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas;Adaptabilidad;Pensamiento critico"
Veterinaria 102,Vet102,10,75.88,"Gestion del tiempo;Habilidades analiticas;Toma de decisiones informada;Pensamiento critico;Adaptabilidad"
Pintura 203,Pin203,3,91.76,"Pensamiento critico;Adaptabilidad;Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas"
Literatura 102,Lit102,2,56.12,"Gestion del tiempo;Pensamiento critico;Toma de decisiones informada;Habilidades analiticas;Adaptabilidad"
Danza 103,Dan103,1,9.9,"Pensamiento critico;Toma de decisiones informada;Adaptabilidad;Habilidades analiticas;Gestion del tiempo"
Literatura 302,Lit302,5,76.23,"Habilidades analiticas;Adaptabilidad;Pensamiento critico;Gestion del tiempo;Toma de decisiones informada"
Teatro 301,Tea301,6,89.42,"Gestion del tiempo;Pensamiento critico;Adaptabilidad;Habilidades analiticas;Toma de decisiones informada"
Escultura 202,Esc202,1,37.67,"Habilidades analiticas;Adaptabilidad;Toma de decisiones informada;Gestion del tiempo;Pensamiento critico"
Arqueologia 303,Arq303,8,99.51,"Habilidades analiticas;Gestion del tiempo;Pensamiento critico;Toma de decisiones informada;Adaptabilidad"
Comunicacion 103,Com103,6,89.84,"Toma de decisiones informada;Adaptabilidad;Pensamiento critico;Gestion del tiempo;Habilidades analiticas"
Arqueologia 201,Arq201,9,13.0,"Adaptabilidad;Pensamiento critico;Habilidades analiticas;Gestion del tiempo;Toma de decisiones informada"
Pintura 303,Pin303,3,61.4,"Adaptabilidad;Habilidades analiticas;Pensamiento critico;Gestion del tiempo;Toma de decisiones informada"
Teatro 103,Tea103,4,57.8,"Adaptabilidad;Gestion del tiempo;Pensamiento critico;Habilidades analiticas;Toma de decisiones informada"
Educacion 303,Edu303,6,20.61,"Adaptabilidad;Habilidades analiticas;Pensamiento critico;Gestion del tiempo;Toma de decisiones informada"
Educacion 201,Edu201,10,1.03,"Pensamiento critico;Adaptabilidad;Gestion del tiempo;Habilidades analiticas;Toma de decisiones informada"
Teatro 302,Tea302,5,87.06,"Toma de decisiones informada;Adaptabilidad;Pensamiento critico;Gestion del tiempo;Habilidades analiticas"
Astronomia 203,Ast203,10,21.38,"Adaptabilidad;Habilidades analiticas;Pensamiento critico;Toma de decisiones informada;Gestion del tiempo"
Veterinaria 303,Vet303,9,65.15,"Gestion del tiempo;Habilidades analiticas;Adaptabilidad;Pensamiento critico;Toma de decisiones informada"
Derecho 201,Der201,1,82.07,"Gestion del tiempo;Adaptabilidad;Toma de decisiones informada;Pensamiento critico;Habilidades analiticas"
Teatro 201,Tea201,5,18.71,"Toma de decisiones informada;Adaptabilidad;Habilidades analiticas;Pensamiento critico;Gestion del tiempo"
Geologia 203,Geo203,2,41.36,"Toma de decisiones informada;Pensamiento critico;Adaptabilidad;Gestion del tiempo;Habilidades analiticas"
Biologia 203,Bio203,1,6.12,"Gestion del tiempo;Adaptabilidad;Pensamiento critico;Habilidades analiticas;Toma de decisiones informada"
Pintura 302,Pin302,10,47.54,"Habilidades analiticas;Gestion del tiempo;Adaptabilidad;Toma de decisiones informada;Pensamiento critico"
Comunicacion 102,Com102,5,67.95,"Habilidades analiticas;Gestion del tiempo;Toma de decisiones informada;Pensamiento critico;Adaptabilidad"
Comunicacion 101,Com101,6,47.03,"Gestion del tiempo;Toma de decisiones informada;Adaptabilidad;Pensamiento critico;Habilidades analiticas"
Derecho 301,Der301,6,4.76,"Toma de decisiones informada;Habilidades analiticas;Adaptabilidad;Gestion del tiempo;Pensamiento critico"
Ecologia 303,Eco303,4,75.69,"Habilidades analiticas;Gestion del tiempo;Pensamiento critico;Toma de decisiones informada;Adaptabilidad"
Veterinaria 202,Vet202,3,85.82,"Habilidades analiticas;Pensamiento critico;Gestion del tiempo;Adaptabilidad;Toma de decisiones informada"
Teatro 102,Tea102,5,32.33,"Adaptabilidad;Toma de decisiones informada;Pensamiento critico;Gestion del tiempo;Habilidades analiticas"
Pintura 202,Pin202,3,13.05,"Adaptabilidad;Gestion del tiempo;Toma de decisiones informada;Pensamiento critico;Habilidades analiticas"
Antropologia 101,Ant101,6,40.11,"Gestion del tiempo;Habilidades analiticas;Toma de decisiones informada;Pensamiento critico;Adaptabilidad"
Veterinaria 101,Vet101,3,40.61,"Toma de decisiones informada;Pensamiento critico;Gestion del tiempo;Habilidades analiticas;Adaptabilidad"
Teatro 203,Tea203,6,98.29,"Toma de decisiones informada;Habilidades analiticas;Pensamiento critico;Adaptabilidad;Gestion del tiempo"
Ecologia 103,Eco103,7,18.71,"Habilidades analiticas;Pensamiento critico;Gestion del tiempo;Toma de decisiones informada;Adaptabilidad"
Pintura 102,Pin102,1,92.52,"Adaptabilidad;Toma de decisiones informada;Gestion del tiempo;Habilidades analiticas;Pensamiento critico"
Antropologia 102,Ant102,9,95.16,"Habilidades analiticas;Gestion del tiempo;Toma de decisiones informada;Adaptabilidad;Pensamiento critico"
Geologia 101,Geo101,3,2.81,"Toma de decisiones informada;Habilidades analiticas;Pensamiento critico;Gestion del tiempo;Adaptabilidad"
Arqueologia 102,Arq102,6,9.93,"Adaptabilidad;Habilidades analiticas;Toma de decisiones informada;Gestion del tiempo;Pensamiento critico"
Pintura 101,Pin101,3,45.58,"Adaptabilidad;Gestion del tiempo;Habilidades analiticas;Toma de decisiones informada;Pensamiento critico"
Biologia 303,Bio303,8,64.86,"Habilidades analiticas;Toma de decisiones informada;Gestion del tiempo;Pensamiento critico;Adaptabilidad"
Arqueologia 301,Arq301,6,29.81,"Toma de decisiones informada;Habilidades analiticas;Pensamiento critico;Adaptabilidad;Gestion del tiempo"
Danza 303,Dan303,4,1.56,"Gestion del tiempo;Pensamiento critico;Toma de decisiones informada;Adaptabilidad;Habilidades analiticas"
Biologia 103,Bio103,3,40.83,"Pensamiento critico;Adaptabilidad;Gestion del tiempo;Habilidades analiticas;Toma de decisiones informada"
Literatura 101,Lit101,1,77.86,"Gestion del tiempo;Adaptabilidad;Habilidades analiticas;Toma de decisiones informada;Pensamiento critico"
Pintura 103,Pin103,1,57.46,"Pensamiento critico;Adaptabilidad;Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas"
Biologia 101,Bio101,4,81.34,"Habilidades analiticas;Gestion del tiempo;Adaptabilidad;Pensamiento critico;Toma de decisiones informada"
Biologia 301,Bio301,1,4.34,"Adaptabilidad;Toma de decisiones informada;Gestion del tiempo;Habilidades analiticas;Pensamiento critico"
Danza 202,Dan202,1,29.42,"Gestion del tiempo;Toma de decisiones informada;Adaptabilidad;Habilidades analiticas;Pensamiento critico"
Veterinaria 203,Vet203,10,54.72,"Pensamiento critico;Habilidades analiticas;Gestion del tiempo;Toma de decisiones informada;Adaptabilidad"
Danza 301,Dan301,10,78.28,"Toma de decisiones informada;Gestion del tiempo;Adaptabilidad;Habilidades analiticas;Pensamiento critico"
Antropologia 302,Ant302,9,26.61,"Pensamiento critico;Toma de decisiones informada;Adaptabilidad;Gestion del tiempo;Habilidades analiticas"
Antropologia 203,Ant203,8,2.53,"Pensamiento critico;Adaptabilidad;Toma de decisiones informada;Habilidades analiticas;Gestion del tiempo"
Derecho 302,Der302,10,26.25,"Habilidades analiticas;Toma de decisiones informada;Gestion del tiempo;Pensamiento critico;Adaptabilidad"
Literatura 103,Lit103,1,68.13,"Gestion del tiempo;Toma de decisiones informada;Pensamiento critico;Habilidades analiticas;Adaptabilidad"
Antropologia 103,Ant103,8,67.93,"Pensamiento critico;Adaptabilidad;Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas"
Educacion 101,Edu101,5,62.46,"Gestion del tiempo;Pensamiento critico;Habilidades analiticas;Adaptabilidad;Toma de decisiones informada"
Geologia 302,Geo302,7,99.09,"Pensamiento critico;Habilidades analiticas;Adaptabilidad;Toma de decisiones informada;Gestion del tiempo"
Escultura 102,Esc102,5,81.95,"Gestion del tiempo;Pensamiento critico;Toma de decisiones informada;Habilidades analiticas;Adaptabilidad"
Literatura 301,Lit301,1,87.57,"Gestion del tiempo;Habilidades analiticas;Toma de decisiones informada;Pensamiento critico;Adaptabilidad"
Literatura 202,Lit202,9,63.66,"Pensamiento critico;Adaptabilidad;Habilidades analiticas;Gestion del tiempo;Toma de decisiones informada"
Escultura 303,Esc303,9,34.86,"Habilidades analiticas;Gestion del tiempo;Adaptabilidad;Toma de decisiones informada;Pensamiento critico"
Veterinaria 302,Vet302,5,39.19,"Toma de decisiones informada;Pensamiento critico;Habilidades analiticas;Gestion del tiempo;Adaptabilidad"
Educacion 302,Edu302,6,0.51,"Pensamiento critico;Gestion del tiempo;Adaptabilidad;Habilidades analiticas;Toma de decisiones informada"
Comunicacion 301,Com301,6,46.98,"Pensamiento critico;Gestion del tiempo;Habilidades analiticas;Adaptabilidad;Toma de decisiones informada"
Escultura 103,Esc103,8,36.14,"Pensamiento critico;Adaptabilidad;Gestion del tiempo;Habilidades analiticas;Toma de decisiones informada"
Astronomia 202,Ast202,7,27.96,"Pensamiento critico;Gestion del tiempo;Habilidades analiticas;Adaptabilidad;Toma de decisiones informada"
Comunicacion 202,Com202,1,54.0,"Toma de decisiones informada;Adaptabilidad;Habilidades analiticas;Pensamiento critico;Gestion del tiempo"
Geologia 301,Geo301,6,3.9,"Toma de decisiones informada;Gestion del tiempo;Pensamiento critico;Adaptabilidad;Habilidades analiticas"
Astronomia 201,Ast201,3,94.71,"Gestion del tiempo;Pensamiento critico;Habilidades analiticas;Toma de decisiones informada;Adaptabilidad"
Antropologia 301,Ant301,5,62.76,"Gestion del tiempo;Habilidades analiticas;Adaptabilidad;Toma de decisiones informada;Pensamiento critico"
Astronomia 101,Ast101,6,81.32,"Habilidades analiticas;Adaptabilidad;Toma de decisiones informada;Gestion del tiempo;Pensamiento critico"
Literatura 203,Lit203,10,93.0,"Gestion del tiempo;Adaptabilidad;Habilidades analiticas;Toma de decisiones informada;Pensamiento critico"
Arqueologia 302,Arq302,9,93.84,"Habilidades analiticas;Gestion del tiempo;Adaptabilidad;Toma de decisiones informada;Pensamiento critico"
Biologia 302,Bio302,1,8.74,"Pensamiento critico;Toma de decisiones informada;Habilidades analiticas;Gestion del tiempo;Adaptabilidad"
Biologia 201,Bio201,4,68.34,"Habilidades analiticas;Adaptabilidad;Gestion del tiempo;Pensamiento critico;Toma de decisiones informada"
