nombre,codigo,creditos,promedioAprobado,competencias
Geografia 101,Geo101,8,79.49,"Adaptabilidad;Toma de decisiones informada;Pensamiento critico;Gestion del tiempo;Habilidades analiticas"
Religion 101,Rel101,1,45.74,"Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas;Adaptabilidad;Pensamiento critico"
Geografia 103,Geo103,10,75.88,"Gestion del tiempo;Habilidades analiticas;Toma de decisiones informada;Pensamiento critico;Adaptabilidad"
Politica 103,Pol103,6,97.08,"Pensamiento critico;Adaptabilidad;Toma de decisiones informada;Habilidades analiticas;Gestion del tiempo"
Fisica 203,Fis203,9,20.93,"Pensamiento critico;Toma de decisiones informada;Gestion del tiempo;Habilidades analiticas;Adaptabilidad"
Sociologia 303,Soc303,4,46.55,"Pensamiento critico;Adaptabilidad;Habilidades analiticas;Toma de decisiones informada;Gestion del tiempo"
Religion 102,Rel102,10,73.53,"Toma de decisiones informada;Habilidades analiticas;Adaptabilidad;Gestion del tiempo;Pensamiento critico"
Sociologia 301,Soc301,6,12.29,"Habilidades analiticas;Pensamiento critico;Gestion del tiempo;Adaptabilidad;Toma de decisiones informada"
Cine 303,Cin303,5,47.81,"Habilidades analiticas;Toma de decisiones informada;Gestion del tiempo;Adaptabilidad;Pensamiento critico"
Sociologia 201,Soc201,7,26.0,"Pensamiento critico;Habilidades analiticas;Adaptabilidad;Toma de decisiones informada;Gestion del tiempo"
Animacion 201,Ani201,8,88.46,"Habilidades analiticas;Adaptabilidad;Pensamiento critico;Gestion del tiempo;Toma de decisiones informada"
Filosofia 101,Fil101,7,67.73,"Habilidades analiticas;Adaptabilidad;Pensamiento critico;Toma de decisiones informada;Gestion del tiempo"
Quimica 102,Qui102,5,46.46,"Pensamiento critico;Toma de decisiones informada;Gestion del tiempo;Habilidades analiticas;Adaptabilidad"
Cine 102,Cin102,6,34.56,"Habilidades analiticas;Toma de decisiones informada;Gestion del tiempo;Adaptabilidad;Pensamiento critico"
Filosofia 202,Fil202,10,93.34,"Gestion del tiempo;Habilidades analiticas;Toma de decisiones informada;Adaptabilidad;Pensamiento critico"
Animacion 202,Ani202,8,66.17,"Pensamiento critico;Adaptabilidad;Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas"
Cine 201,Cin201,2,19.87,"Toma de decisiones informada;Pensamiento critico;Adaptabilidad;Habilidades analiticas;Gestion del tiempo"
Religion 103,Rel103,4,66.09,"Gestion del tiempo;Pensamiento critico;Toma de decisiones informada;Adaptabilidad;Habilidades analiticas"
Religion 202,Rel202,8,62.52,"Habilidades analiticas;Pensamiento critico;Gestion del tiempo;Toma de decisiones informada;Adaptabilidad"
Economia 303,Eco303,1,82.07,"Habilidades analiticas;Gestion del tiempo;Adaptabilidad;Toma de decisiones informada;Pensamiento critico"
Geografia 302,Geo302,3,91.13,"Adaptabilidad;Gestion del tiempo;Pensamiento critico;Toma de decisiones informada;Habilidades analiticas"
Sociologia 103,Soc103,2,41.36,"Adaptabilidad;Toma de decisiones informada;Gestion del tiempo;Habilidades analiticas;Pensamiento critico"
Geografia 303,Geo303,1,6.12,"Habilidades analiticas;Gestion del tiempo;Toma de decisiones informada;Pensamiento critico;Adaptabilidad"
Politica 203,Pol203,8,86.75,"Pensamiento critico;Gestion del tiempo;Toma de decisiones informada;Adaptabilidad;Habilidades analiticas"
Geografia 102,Geo102,3,10.69,"Adaptabilidad;Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas;Pensamiento critico"
Filosofia 303,Fil303,8,65.33,"Gestion del tiempo;Toma de decisiones informada;Pensamiento critico;Habilidades analiticas;Adaptabilidad"
Economia 103,Eco103,6,4.76,"Toma de decisiones informada;Adaptabilidad;Pensamiento critico;Gestion del tiempo;Habilidades analiticas"
Geografia 203,Geo203,4,75.69,"Adaptabilidad;Gestion del tiempo;Habilidades analiticas;Toma de decisiones informada;Pensamiento critico"
Cine 301,Cin301,3,85.82,"Adaptabilidad;Habilidades analiticas;Gestion del tiempo;Pensamiento critico;Toma de decisiones informada"
Filosofia 203,Fil203,5,32.33,"Pensamiento critico;Toma de decisiones informada;Habilidades analiticas;Gestion del tiempo;Adaptabilidad"
Filosofia 201,Fil201,3,13.05,"Pensamiento critico;Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas;Adaptabilidad"
Fisica 102,Fis102,6,40.11,"Gestion del tiempo;Adaptabilidad;Toma de decisiones informada;Habilidades analiticas;Pensamiento critico"
Cine 101,Cin101,3,40.61,"Toma de decisiones informada;Habilidades analiticas;Gestion del tiempo;Adaptabilidad;Pensamiento critico"
Sociologia 202,Soc202,6,98.29,"Toma de decisiones informada;Adaptabilidad;Habilidades analiticas;Pensamiento critico;Gestion del tiempo"
Geografia 202,Geo202,7,18.71,"Adaptabilidad;Habilidades analiticas;Gestion del tiempo;Toma de decisiones informada;Pensamiento critico"
Filosofia 102,Fil102,1,92.52,"Pensamiento critico;Toma de decisiones informada;Gestion del tiempo;Adaptabilidad;Habilidades analiticas"
Fisica 302,Fis302,9,95.16,"Adaptabilidad;Gestion del tiempo;Toma de decisiones informada;Pensamiento critico;Habilidades analiticas"
Quimica 101,Qui101,3,2.81,"Toma de decisiones informada;Adaptabilidad;Habilidades analiticas;Gestion del tiempo;Pensamiento critico"
Religion 301,Rel301,3,34.08,"Gestion del tiempo;Adaptabilidad;Toma de decisiones informada;Pensamiento critico;Habilidades analiticas"
Filosofia 301,Fil301,3,45.58,"Gestion del tiempo;Pensamiento critico;Adaptabilidad;Toma de decisiones informada;Habilidades analiticas"
Fisica 301,Fis301,8,64.86,"Adaptabilidad;Toma de decisiones informada;Pensamiento critico;Habilidades analiticas;Gestion del tiempo"
Economia 102,Eco102,6,29.81,"Toma de decisiones informada;Adaptabilidad;Habilidades analiticas;Gestion del tiempo;Pensamiento critico"
Politica 302,Pol302,4,1.56,"Pensamiento critico;Habilidades analiticas;Toma de decisiones informada;Gestion del tiempo;Adaptabilidad"
Fisica 202,Fis202,3,40.83,"Habilidades analiticas;Gestion del tiempo;Pensamiento critico;Adaptabilidad;Toma de decisiones informada"
Religion 201,Rel201,1,77.86,"Pensamiento critico;Gestion del tiempo;Adaptabilidad;Toma de decisiones informada;Habilidades analiticas"
Sociologia 101,Soc101,1,57.46,"Habilidades analiticas;Gestion del tiempo;Pensamiento critico;Toma de decisiones informada;Adaptabilidad"
Economia 203,Eco203,4,81.34,"Adaptabilidad;Pensamiento critico;Gestion del tiempo;Habilidades analiticas;Toma de decisiones informada"
Fisica 101,Fis101,1,4.34,"Gestion del tiempo;Toma de decisiones informada;Pensamiento critico;Adaptabilidad;Habilidades analiticas"
Religion 302,Rel302,1,29.42,"Pensamiento critico;Toma de decisiones informada;Gestion del tiempo;Adaptabilidad;Habilidades analiticas"
Sociologia 102,Soc102,10,54.72,"Habilidades analiticas;Adaptabilidad;Pensamiento critico;Toma de decisiones informada;Gestion del tiempo"
