codigo,capacidad,disponible,edificio,nivel
A-321,33,false,A,3
A-714,32,false,A,7
B-716,25,true,B,7
B-552,27,true,B,5
A-421,39,false,A,4
A-150,34,true,A,1
A-195,24,true,A,1
A-365,38,false,A,3
B-414,29,false,B,4
C-771,26,false,C,7
A-492,36,false,A,4
C-591,39,false,C,5
C-663,31,true,C,6
C-220,35,false,C,2
A-353,37,false,A,3
A-668,32,false,A,6
A-285,22,false,A,2
A-339,32,true,A,3
C-373,40,true,C,3
C-432,24,false,C,4
B-769,21,true,B,7
A-434,20,false,A,4
B-644,33,false,B,6
A-189,22,false,A,1
C-120,33,true,C,1
C-419,37,false,C,4
A-343,35,true,A,3
C-363,31,true,C,3
C-630,33,true,C,6
C-796,24,false,C,7
