motivo,confirmado,rol,nodoInicio,nodoFin
Some lose answer involve represent leader year. Consider local magazine sort water serve budget.,false,Presentador,3932,4910
Later one month growth start make. Maintain but debate.,true,Expositor,3519,4930
International debate though option these. Financial class entire figure. Attorney entire try PM.,true,Presentador,3753,4873
Professional wrong condition. Happen relate project.,false,Asistente,3974,4938
Fast city great. Way term amount like whom system away. Until issue score market head.,false,Facilitador,974,4953
Spend together summer enjoy they course. When own smile citizen appear person energy.,false,Voluntario,1040,4900
Point these night stuff life relate meet.,false,Asistente,3943,4910
Develop population month name poor recognize. Student wish peace decade so decision.,false,Asistente,1660,4916
Community hour news because. Production own himself use instead too.,true,Presentador,836,4921
Short city oil computer then. Political weight player paper have. Someone argue role whatever poor.,false,Organizador,230,4867
Condition clearly whose share phone mention. Find ready break part term concern few.,true,Presentador,353,4862
Fact lead remain key keep next resource. Second official significant glass.,true,Voluntario,3696,4928
No bar black television very father sport probably. Huge quickly part wear walk game keep.,false,Voluntario,4021,4884
Season high yourself responsibility join. Build place stand step across. Add group since soon.,true,Presentador,2634,4865
Claim save scientist off. Financial high cell war check. Girl something necessary role tend.,true,Facilitador,1737,4903
Travel reason little executive enter former. Go magazine clearly rule sense. We agent yet various.,false,Organizador,3211,4930
Feel author issue one TV already space. According degree consider eat. Country capital speech him.,false,Presentador,220,4946
Imagine mission vote truth order. Onto wind then technology. Team adult board among mission.,true,Organizador,3085,4910
Hundred every check reach management type. Bag task full or significant land. Worker we it loss.,false,Moderador,692,4858
Old alone dog require. Less audience cover. Before see thus chair plant smile.,false,Presentador,116,4953
Reality note director recent reveal world. Trade arm through these.,false,Asistente,1737,4897
Drive structure report through own. International race consider none couple.,true,Voluntario,2664,4944
Trial result new. Commercial trade customer anyone business.,false,Panelista,3779,4859
I policy everybody often. Be practice rise west focus world already cost.,true,Expositor,1064,4867
Cold PM majority technology million. Get cover people doctor.,true,Moderador,3806,4942
Pressure others offer environmental. Probably some wall to Democrat beat. Natural couple wind.,false,Facilitador,4197,4916
Sister radio authority everyone beautiful policy. Financial ball ask young remember voice economy.,false,Asistente,359,4893
Your resource well woman challenge you behavior.\
Site common letter view cut. To plant go.,false,Voluntario,4038,4954
Accept drive party very study through leg. Policy himself will have Congress general.,true,Facilitador,2148,4948
Play food record simple. Ahead where customer arrive. Start economic education personal raise.,true,Panelista,2214,4897
Capital since across practice near front page. Beyond answer difficult seat machine.,true,Voluntario,1688,4887
Improve brother treat four owner place star. Material sister development food difference.,true,Presentador,4163,4910
Short national with especially among where. Determine condition go management.,true,Organizador,84,4960
Dinner class situation sense. Of take strong wind bit.,false,Orador,1627,4914
Population pretty where. Short describe direction statement.\
Friend beat fly.,false,Organizador,2112,4961
If there high. Option account grow level coach.,true,Orador,4481,4963
Both heavy finally force budget house even.,true,Presentador,4105,4926
Whose position score. Describe especially use chair character east fall.,true,Asistente,1441,4933
Fast follow from price community item score page. Course produce near.,true,Facilitador,4389,4961
Teach modern school fine. Part section information keep business difference color.,false,Expositor,4326,4876
Own course focus finish alone join. Piece his trip market tell million.,true,Orador,3836,4865
Record mouth wife. Miss across spring wear better.,true,Presentador,436,4964
Ok when such. Party recognize these. Herself member child bit.,false,Orador,1005,4893
Art save whatever force. Day southern note speech child.,false,Asistente,2847,4925
Right community second. Couple order party record size.,true,Facilitador,3641,4908
Pay consider before challenge three project because attorney. I per television bag authority by.,false,Orador,3388,4903
Ball consider consider purpose quickly. Song arrive could black full push kid recognize.,true,Presentador,3474,4936
Certain government scene bed chair director. Learn smile of.,true,Organizador,2316,4855
Without fire pass should. Grow provide tree central represent understand spring.,true,Presentador,2167,4899
Change best important a receive treat. Whose bring sort.,false,Facilitador,2594,4932
Example strong forget part tough. Agency sense business east know.,false,Presentador,250,4967
Best eye bank structure skill. Door wind half news son option Congress.,false,Patrocinador,4135,4896
Discuss individual to arm. Become note your institution itself.,true,Moderador,1211,4863
Military move office news mind. Edge practice glass miss seek season debate.,true,Panelista,1866,4917
Exactly building real. Fire send quality set system year everything. Win conference series.,false,Organizador,3050,4910
Significant support why certainly maintain science improve. Phone special final offer.,true,Facilitador,2165,4964
Over magazine strong yard debate successful. Major answer turn receive same itself field.,false,Panelista,1030,4863
Heart another remember off. Involve business respond. Garden kind make entire north.,false,Organizador,1231,4917
Loss professional contain worry free whom view arm. But be you without west agency simple.,true,Facilitador,1983,4904
Economic wall deal politics then. Quality leg product behind.,true,Asistente,3157,4962
Less laugh politics notice street. Notice world economic four cold third.,false,Orador,2542,4919
Along develop program. How adult manage turn.,true,Moderador,937,4889
Attention buy yourself usually. Two step air growth rise rate foreign.,false,Orador,572,4937
