fecha,tipoOcupacion,autorizado,nodoInicio,nodoFin
2009-07-27,Talleres,false,3932,5097
2016-10-10,Clases,false,238,5094
2016-05-01,Entrevistas,true,3909,5020
2016-01-05,Entrevistas,false,974,5069
2001-08-16,Presentaciones,true,3244,5130
2017-05-07,Presentaciones,true,3943,5098
2014-08-13,Seminarios,true,1660,5109
2021-04-23,Examenes,false,836,5120
2024-03-18,Talleres,true,230,5011
2000-12-28,Practicas,true,3813,4988
2015-07-25,Reuniones,true,2870,5092
2021-02-13,Practicas,false,2948,5102
2015-08-04,Talleres,true,3994,5059
2006-03-14,Reuniones,true,1737,5083
2016-03-27,Presentaciones,true,3211,5138
2005-09-23,Talleres,false,220,5008
2016-07-04,Clases,false,3844,5081
2023-06-09,Talleres,true,532,5045
2011-01-10,Entrevistas,true,3759,5012
2020-01-05,Examenes,false,921,5064
2004-01-18,Presentaciones,false,3349,5150
2012-04-27,Entrevistas,true,1677,5139
2010-10-04,Practicas,true,1134,5033
2004-04-27,Talleres,false,2366,5128
2013-06-23,Practicas,false,1029,5134
2020-05-27,Clases,false,2637,5065
2012-07-13,Entrevistas,true,2148,4993
2005-12-06,Seminarios,false,3057,4991
2016-05-18,Presentaciones,true,2422,4983
2016-02-04,Entrevistas,false,509,4980
2022-07-23,Clases,false,569,5027
2014-03-14,Practicas,false,393,5043
2005-02-02,Conferencias,true,4481,5028
2006-11-24,Entrevistas,true,1490,5022
2017-08-23,Reuniones,false,4326,5029
2007-02-13,Reuniones,true,3836,5007
2016-08-18,Clases,false,436,5052
2003-06-23,Reuniones,true,2814,5047
2019-02-04,Conferencias,false,1109,5131
2021-08-28,Entrevistas,false,3495,5001
2009-11-22,Seminarios,false,186,5098
2001-07-30,Seminarios,true,213,5049
2000-12-15,Clases,true,4016,5044
2004-08-01,Seminarios,false,2594,5142
2023-11-01,Entrevistas,false,250,5078
2018-05-01,Examenes,false,637,5044
2023-08-23,Conferencias,true,1398,5088
2008-03-24,Examenes,false,388,5072
2015-11-02,Entrevistas,true,2165,5104
2001-06-19,Seminarios,true,882,5072
2003-05-15,Clases,true,4323,5130
2006-06-12,Examenes,true,3491,5110
2011-12-03,Examenes,true,3157,5051
2015-05-09,Reuniones,false,4439,5018
2020-10-15,Talleres,true,2502,5103
2019-12-04,Reuniones,true,2179,5059
2017-12-10,Seminarios,false,2282,5095
2016-03-04,Entrevistas,true,1069,5107
2012-03-30,Clases,false,3990,5054
2016-09-13,Conferencias,false,2835,5079
2009-02-26,Reuniones,true,1372,5143
2000-08-01,Seminarios,false,4218,5148
2016-08-04,Conferencias,false,2263,5050
2010-12-10,Entrevistas,true,3821,5051
2004-03-07,Presentaciones,false,325,5089
2021-07-31,Entrevistas,true,338,5104
2007-01-28,Seminarios,true,1163,5053
2021-02-13,Seminarios,true,3942,5121
2022-06-23,Clases,false,3941,5029
2007-03-21,Reuniones,false,4138,5040
2014-02-06,Seminarios,false,2412,4982
2012-07-22,Examenes,false,1466,4984
2000-04-06,Clases,false,641,5095
2013-05-04,Clases,true,2791,5002
2021-07-10,Entrevistas,true,776,5053
2009-06-20,Seminarios,true,3733,5014
2016-04-07,Reuniones,false,3506,5156
2021-05-11,Talleres,true,2096,5102
2000-11-30,Presentaciones,false,3119,5128
2004-02-20,Practicas,false,409,5018
2023-12-25,Presentaciones,false,680,5035
2001-10-29,Reuniones,true,3763,5010
2012-10-24,Examenes,true,2848,5131
2015-12-19,Practicas,false,402,5151
2013-12-07,Examenes,true,1964,5011
2008-11-05,Seminarios,true,1106,5146
2021-10-11,Entrevistas,true,2071,5121
2020-12-17,Practicas,true,473,5035
2002-11-17,Presentaciones,true,2116,5041
2002-03-19,Entrevistas,true,1828,5003
2009-02-07,Presentaciones,false,1597,5037
2015-08-15,Entrevistas,false,3343,4986
2000-06-25,Practicas,false,1655,4978
2015-08-13,Clases,true,2446,5042
2004-08-28,Presentaciones,true,2479,5134
2007-03-20,Clases,false,3599,5054
2012-07-07,Conferencias,true,2090,4995
2003-10-30,Entrevistas,false,348,5101
2011-08-29,Talleres,true,3518,5045
2011-01-25,Practicas,false,4383,5097
2013-02-13,Examenes,false,446,5063
2013-11-29,Practicas,true,2099,5099
2023-01-17,Clases,true,3005,5053
2015-09-11,Clases,true,969,5128
2002-05-29,Talleres,false,2729,5137
2006-12-19,Practicas,true,1971,5133
2023-12-31,Clases,true,2923,5009
2021-08-15,Seminarios,true,2483,5143
2018-05-12,Examenes,false,2701,5118
2004-06-03,Talleres,true,4333,5150
2004-09-16,Talleres,false,41,5041
2007-07-08,Talleres,true,2160,5038
2010-06-24,Talleres,false,1472,5041
2015-10-23,Practicas,false,570,5096
2009-10-30,Talleres,true,4144,4988
2020-03-04,Examenes,false,1110,5121
2017-06-07,Clases,true,3226,5155
2017-08-29,Practicas,false,2733,5121
2016-10-18,Practicas,false,4048,5081
2024-04-10,Practicas,true,547,5102
2004-04-10,Practicas,false,2495,5093
2020-11-22,Talleres,false,350,5131
2022-12-26,Seminarios,false,3210,5081
2022-06-26,Seminarios,true,2795,5018
2001-06-28,Clases,false,41,5052
2011-06-29,Conferencias,false,2907,5103
2010-12-15,Entrevistas,true,2974,5097
2011-10-04,Reuniones,true,3954,5087
2016-10-09,Presentaciones,false,4070,5069
2006-12-16,Presentaciones,true,4081,5088
2019-09-01,Practicas,false,3193,5054
2008-12-03,Seminarios,false,3878,5003
2002-03-03,Practicas,false,3825,5064
2013-07-10,Clases,true,4423,5118
2019-10-10,Entrevistas,true,1914,5034
2009-03-13,Presentaciones,true,2986,4999
2012-09-12,Clases,true,3926,4981
2001-11-24,Talleres,true,1095,5010
2010-11-25,Presentaciones,false,1182,5014
2007-01-05,Examenes,false,9,5054
2010-01-22,Reuniones,true,924,5114
2000-11-17,Examenes,false,1713,5044
2023-07-07,Examenes,false,3371,5017
2023-06-05,Clases,true,3467,5044
2015-05-17,Practicas,false,2174,5006
2022-07-07,Seminarios,true,4226,5139
2022-08-11,Seminarios,false,367,4999
2017-04-17,Practicas,false,749,5153
2016-02-22,Talleres,false,2397,5030
2002-02-11,Talleres,false,4123,5033
2000-05-30,Practicas,true,4081,5140
2021-02-21,Practicas,true,3833,5109
2000-05-07,Examenes,true,3647,5123
2010-09-27,Clases,false,1829,5034
2002-05-14,Entrevistas,false,1265,5036
2006-10-05,Examenes,true,566,5062
2017-01-15,Presentaciones,false,1345,5084
2013-09-17,Examenes,true,2726,5055
2024-01-15,Conferencias,true,866,5030
2001-08-19,Reuniones,false,1852,5055
2008-10-10,Conferencias,false,4295,5091
2019-11-05,Presentaciones,true,866,5085
2005-01-14,Practicas,true,1753,5105
2003-02-06,Reuniones,false,2540,5145
2018-08-12,Clases,false,4143,5117
2006-11-21,Entrevistas,false,2446,5093
2022-06-26,Examenes,false,3247,5113
2016-03-22,Examenes,true,711,5020
2017-01-18,Entrevistas,true,939,5122
2020-03-16,Talleres,true,3949,5094
2007-04-11,Seminarios,true,3539,5092
2006-03-11,Reuniones,true,1422,5069
2005-12-26,Seminarios,true,3897,5079
