objetivo,importancia,recurrente,nodoInicio,nodoFin
Educar,Media,false,4973,4856
Apoyar,Media,true,4973,4929
Compartir,Alta,false,4971,4912
Fomentar,Baja,true,4976,4967
Fomentar,Media,true,4973,4926
Fomentar,Alta,false,4973,4934
Integrar,Alta,true,4974,4876
Compartir,Alta,false,4970,4853
Inspirar,Baja,true,4973,4954
Conectar,Alta,true,4972,4907
Entretener,Baja,false,4972,4968
Compartir,Media,true,4973,4891
Informar,Baja,true,4974,4959
Promover,Media,false,4970,4900
Educar,Media,true,4976,4865
Conectar,Media,false,4973,4883
Entretener,Alta,true,4972,4951
Compartir,Alta,false,4971,4877
Fomentar,Alta,false,4972,4944
Integrar,Media,false,4970,4876
Apoyar,Alta,true,4971,4889
Compartir,Baja,false,4974,4915
Apoyar,Media,true,4974,4936
Conectar,Media,false,4972,4950
Compartir,Alta,false,4976,4858
Integrar,Baja,false,4972,4857
Fomentar,Alta,false,4976,4853
Compartir,Baja,false,4970,4851
Entretener,Alta,false,4970,4875
Apoyar,Baja,false,4975,4856
Educar,Baja,true,4970,4920
Promover,Baja,false,4974,4926
Promover,Alta,true,4975,4952
Entretener,Alta,false,4975,4933
Apoyar,Baja,true,4970,4859
Compartir,Alta,true,4976,4907
Conectar,Media,true,4970,4893
Educar,Alta,false,4974,4956
Inspirar,Baja,false,4973,4904
Informar,Media,false,4976,4852
Compartir,Media,true,4975,4853
Educar,Alta,true,4976,4912
Educar,Media,false,4974,4890
Entretener,Media,false,4976,4853
Integrar,Alta,false,4970,4883
Inspirar,Alta,true,4973,4879
Apoyar,Media,true,4972,4910
Promover,Baja,false,4973,4904
Inspirar,Alta,false,4970,4869
Apoyar,Baja,true,4975,4923
Entretener,Baja,true,4973,4916
Promover,Alta,false,4972,4948
Informar,Media,true,4976,4884
Informar,Media,false,4970,4858
Educar,Media,false,4975,4962
Compartir,Media,false,4973,4926
Inspirar,Alta,true,4973,4912
Educar,Alta,false,4972,4901
Informar,Alta,true,4975,4902
Integrar,Baja,true,4973,4885
Educar,Media,true,4973,4887
Fomentar,Media,true,4976,4906
Compartir,Alta,true,4973,4948
Integrar,Alta,true,4972,4899
Promover,Media,true,4973,4920
Entretener,Media,true,4970,4964
Educar,Baja,true,4973,4892
Educar,Alta,true,4972,4872
Conectar,Alta,false,4970,4940
Compartir,Baja,true,4976,4956
Inspirar,Media,true,4973,4924
Inspirar,Alta,false,4973,4916
Inspirar,Media,true,4970,4908
Integrar,Baja,false,4974,4867
Educar,Media,false,4973,4898
Entretener,Baja,false,4975,4856
Inspirar,Baja,false,4972,4860
Promover,Baja,true,4970,4908
Inspirar,Baja,true,4970,4894
Entretener,Baja,false,4970,4937
Promover,Alta,true,4976,4867
Integrar,Alta,true,4975,4946
Compartir,Alta,false,4974,4919
Informar,Baja,true,4976,4879
Fomentar,Alta,false,4972,4925
Compartir,Baja,true,4974,4932
Entretener,Baja,true,4976,4957
Informar,Media,false,4971,4880
Compartir,Baja,false,4973,4854
Apoyar,Baja,false,4971,4960
Conectar,Alta,true,4972,4882
Fomentar,Baja,true,4972,4943
Entretener,Baja,true,4972,4906
Educar,Alta,true,4974,4882
Informar,Media,false,4970,4912
Educar,Baja,true,4975,4904
Educar,Baja,false,4974,4952
Compartir,Alta,false,4975,4922
Conectar,Baja,false,4974,4865
Educar,Media,true,4976,4864
